iter	Passed	Remaining
1434	31814	1441
1435	31834	1418
1436	31855	1396
1437	31875	1374
1438	31898	1352
1439	31918	1329
1440	31938	1307
1441	31957	1285
1442	31977	1263
1443	32000	1241
1444	32020	1218
1445	32043	1196
1446	32066	1174
1447	32088	1152
1448	32110	1130
1449	32130	1107
1450	32149	1085
1451	32170	1063
1452	32192	1041
1453	32212	1019
1454	32233	996
1455	32251	974
1456	32271	952
1457	32291	930
1458	32311	907
1459	32334	885
1460	32357	863
1461	32376	841
1462	32396	819
1463	32416	797
1464	32436	774
1465	32456	752
1466	32475	730
1467	32495	708
1468	32518	686
1469	32538	664
1470	32558	641
1471	32577	619
1472	32598	597
1473	32618	575
1474	32638	553
1475	32659	531
1476	32681	508
1477	32702	486
1478	32722	464
1479	32742	442
1480	32763	420
1481	32782	398
1482	32802	376
1483	32822	353
1484	32841	331
1485	32861	309
1486	32882	287
1487	32902	265
1488	32924	243
1489	32943	221
1490	32968	199
1491	32991	176
1492	33013	154
1493	33032	132
1494	33052	110
1495	33073	88
1496	33091	66
1497	33116	44
1498	33137	22
1499	33157	0
